Modelo;Reducao;N_Features;Acuracia;Precisao;Recall;F1-Score;Brier;AUC;Tempo (s);Emissoes (g);Energia (kWh);RGA;CPU;GPU
RandomForest;-0%;103;0.704547325667554;0.7116009180271078;0.8000876381518087;0.7532544921158782;0.1937120484462618;0.7592903453194277;8.160236120223999;0.013141656324;0.00012732646;0.018652623954747635;;
LightGBM;-0%;103;0.6960125140646011;0.6797765617875057;0.8709771653926676;0.7635897983139472;0.1974113440327531;0.7518821747612533;1.396430492401123;0.002240609807;2.1708749e-05;0.003219209082772376;;
RNA;-0%;103;0.6931309860314498;0.6926339193807387;0.8190272165149228;0.750546557801276;0.2039334625005722;0.7391550160287178;180.2887794971466;0.290819964983;0.002817687197;0.41957432410878315;;
RandomForest;-10%;93;0.7027086363511622;0.7095242207063294;0.8001363260139247;0.7521109356765291;0.19465648831685223;0.7559939657672273;6.810834169387817;0.010970610649;0.000106291702;0.015611891019249825;;
LightGBM;-10%;93;0.6960125140646011;0.6797765617875057;0.8709771653926676;0.7635897983139472;0.1974113440327531;0.7518821747612533;0.9579081535339355;0.001534970097;1.4871969e-05;0.002205377153402058;;
RNA;-10%;93;0.690084799253547;0.6976316689466484;0.7945372218705876;0.7429377888051717;0.20667748153209686;0.7350583840957884;174.93764734268188;0.282184250023;0.002734017757;0.40891242689048346;;
RandomForest;-20%;83;0.704218008178051;0.7109027267620242;0.8009640196698963;0.7532509157509157;0.19460529164417856;0.7560204838103672;7.6999671459198;0.012406562204;0.000120204304;0.017617502051812322;;
LightGBM;-20%;83;0.6964790471747304;0.680229683994372;0.8709284775305516;0.7638568622427193;0.19737675090637358;0.7519055587146526;0.9883744716644287;0.001580026322;1.5308509e-05;0.0022685913214609715;;
RNA;-20%;83;0.6924723510524438;0.694672729548204;0.8107502799552072;0.748236351381712;0.20513999462127686;0.7366108991607009;173.35329747200012;0.279627623568;0.002709247196;0.40381052491556113;;
RandomForest;-30%;73;0.7041356788056753;0.7093991416309013;0.8047616729149423;0.7540774196491709;0.1946969516787569;0.7560474780146743;4.797145843505859;0.007722914383;7.4825526e-05;0.01096793503788826;;
LightGBM;-30%;73;0.6982902933669969;0.68194121459342;0.8709284775305516;0.7649347872567885;0.1972253831793679;0.7523334775596419;0.9754037857055664;0.001559117622;1.5105929e-05;0.0022327642769918647;;
RNA;-30%;73;0.6946678009824638;0.6978102803345522;0.8083645747115245;0.7490300460164215;0.20398755371570587;0.7401175949665937;179.1380009651184;0.288960632141;0.002799672552;0.41596952058570297;;
RandomForest;-40%;62;0.7025439776064107;0.70968439256377;0.7992112566337212;0.7517918889830314;0.19531890434851548;0.7547260067593452;6.7863452434539795;0.01092820479;0.000105880842;0.015555189622766015;;
LightGBM;-40%;62;0.6973023408984879;0.6807588488005171;0.8718048590486391;0.7645275607360915;0.19750725227519997;0.7511371846350906;1.0593490600585938;0.001693135151;1.6404394e-05;0.0024281219948557205;;
RNA;-40%;62;0.6924174648041933;0.6877389239869623;0.8321242514241199;0.7530733641771316;0.20223747193813324;0.7405066906002724;182.4539773464203;0.294300087326;0.002851405295;0.4250327328315213;;
RandomForest;-50%;52;0.7025714207305359;0.708956188342739;0.8012561468425922;0.7522856098006948;0.1947601623413254;0.7549050586688738;6.745601415634155;0.010865379073;0.000105272138;0.015465159487560916;;
LightGBM;-50%;52;0.6947226872307144;0.6779302264051101;0.8732654949121184;0.7632990041705677;0.19846166493647524;0.7476549828046107;0.9314792156219482;0.001491667321;1.4452419e-05;0.0021471406482290734;;
RNA;-50%;52;0.6891791761574138;0.6912760038201221;0.8105555285067433;0.7461790148357312;0.20344243943691254;0.736407423704742;174.24957966804504;0.281071347761;0.002723235105;0.40783493971501134;;
